spotlight, spot;holofotes, local
lighter, light, igniter, ignitor;mais leve, leve, dispositivo de ignição, dispositivo de ignição
candle, taper, wax light;vela, atarraxamento, luz de cera
lampshade, lamp shade;abajur, abajur
hourglass;ampulheta
digital clock;relógio digital
matchstick;palito de fósforo
microphone, mike;microfone, microfone
perfume, essence;perfume, essência
syringe;seringa
nail;unha
lipstick, lip rouge;batom, batom vermelho
flagpole, flagstaff;mastro de bandeira
nematode, nematode worm, roundworm;nemátodo, verme nemátodo, lombriga
pole;pólo
pill bottle;frasco de comprimido
torch;tocha
projectile, missile;projétil, míssil
knot;nó
golf ball;bola de golfe
red wine;vinho tinto
street sign;sinal de rua
padlock;cadeado
baseball;beisebol
vine snake;cobra videira
water bottle;garrafa de agua
stove;fogão
screwdriver;Chave de fenda
punching bag, punch bag, punching ball, punchball;saco de pancadas, saco de pancadas, bola de pancadas, punchball
ballpoint, ballpoint pen, ballpen, Biro;esferográfica, caneta esferográfica, esferográfica, Biro
chime, bell, gong;carrilhão, sino, gongo
window shade;sombra da janela
wine bottle;garrafa de vinho
horizontal bar, high bar;barra horizontal, barra alta
tennis ball;bola de tênis
traffic light, traffic signal, stoplight;semáforo, sinal de trânsito, semáforo
tree frog, tree-frog;sapo de árvore
drumstick;baqueta
screw;parafuso
chain;cadeia
mortar;argamassa
rule, ruler;regra, régua
iPod;iPod
theater curtain, theatre curtain;cortina de teatro, cortina de teatro
combination lock;fechadura de combinação
bubble;bolha
hammer;martelo
hook, claw;gancho, garra
hair spray;spray de cabelo
balance beam, beam;viga de equilíbrio, viga
bannister, banister, balustrade, balusters, handrail;corrimão, corrimão, balaustrada, balaústres, corrimão
switch, electric switch, electrical switch;interruptor, interruptor elétrico, interruptor elétrico
fountain pen;caneta tinteiro
rubber eraser, rubber, pencil eraser;borracha borracha, borracha, borracha lápis
plunger, plumber's helper;desentupidor, ajudante de encanador
quill, quill pen;pena de pena
paintbrush;pincel
oboe, hautboy, hautbois;oboé, hautboy, hautbois
television, television system;televisão, sistema de televisão
