id;fabricante;modelo;ciclo;volume;potencia;peso;peso_pot;altura;largura;comprimento;altura_assento
pop;HONDA;Pop 100/110i;4 Tempos;97,1/109,1;6,17/7,9;85/87;13,78;1020/1033;742/745;1819/1843;749
biz;HONDA;Biz 110i/125;4 Tempos;109,17/124,9;8,33/9,2;97;11,64;1085;707;1894;753
cg125;HONDA;CG/ML 125;4 Tempos;124,7;11,6;118;10,17;1083;731;2002;792
cg160;HONDA;CG 150/160;4 Tempos;149,2/162,7;14,2/15,1;118;8,14;1083;731;2002;792
xl250;HONDA;XL 250R;4 Tempos;249;25;129;5,16;N/D;N/D;2155;N/D
xlx250;HONDA;XLX 250R;4 Tempos;249;25;129;5,16;N/D;N/D;2155;N/D
crosser;YAMAHA;Crosser;4 Tempos;149,3;12,4;131;10,56;1140;830;2050;835
cbtwister;HONDA;CB 250F Twister;4 Tempos;249,5;22,6;137;6,06;1072;753;2065;784
africatwin;HONDA;CRF 1000L Africa Twin;4 Tempos;999,1;88,9;216;2,43;1478;932;2334;850/870
pcx;HONDA;PCX;4 Tempos;149,3;13,1;125;9,54;1103;737;1931;761
bros160;HONDA;NXR Bros 150/160;4 Tempos;149,2/162,7;14,2/15,1;120;8,28;1158;809;2067;842
tt125;YAMAHA;TT 125;2 Tempos;123;12,5;92;7,36;1270;870;1920;N/D
rx180;YAMAHA;RX 180;2 Tempos;176;17,6;120;6,82;1150;865;1905;N/D
rd135;YAMAHA;RD 135;2 Tempos;132;16/18;100/107;6,25;1080;690;1970;N/D
dt180;YAMAHA;DT 180;2 Tempos;176;16,7;N/D;N/D;1200;895;N/D;N/D
nc750x;HONDA;NC 700/750/750x;4 Tempos;745;54,5;210;3,85;1353;844;2228;832
xre300;HONDA;XRE 300;4 Tempos;291,6;26,3;144;5,48;1181;830;2171;860
f800gs;BMW;F800 GS;4 Tempos;798;85;207;2,435294118;1350;945;2320;880
factor;YAMAHA;Factor 125/150;4 Tempos;124/149;10,2/12,4;112/126;10,16129032;1080/1075;760/735;1980/2015;780/785
tenere250;YAMAHA;Tenere 250;4 Tempos;249,5;20,9;133;6,363636364;1375;830;2135;865
xre190;HONDA;XRE 190;4 Tempos;184,4;16,3;127;7,791411043;1179;821;2075;836
lander250;YAMAHA;Lander 250;4 Tempos;249,5;20,9;133;6,363636364;1180;830;2125;875
crf230;HONDA;CRF 230;4 Tempos;223;19,3;107;;1190;812;2059;872
xlx350;HONDA;XLX 350R;4 Tempos;339;31,5;144;;1315;815;N/D;835
xr250;HONDA;XR 250 Tornado;4 Tempos;249;23,3;134;;1203;845;2147;880
xt660r;YAMAHA;XT 660R;4 Tempos;660;48;165;;1230;845;2240;865
xtz125;YAMAHA;XTZ 125;4 Tempos;125;10;104;;1125;810;2090;840
cb300;HONDA;CB 300R;4 Tempos;291,6;26,53;148;;1040;745;2085;781
sahara;HONDA;NX 350 Sahara;4 Tempos;339;31,5;144;;1315;815;N/D;835
